Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
DRM11,OUT035,5102.22514
NCH07,OUT018,2696.09052
FDS23,OUT013,1872.16302
FDO49,OUT018,590.96408
FDS35,OUT049,905.488
DRK39,OUT045,1389.5246
DRI39,OUT049,731.11498
FDV04,OUT017,2283.96032
NCN14,OUT035,2847.89292
FDH08,OUT013,4316.51456
FDS20,OUT046,3130.5916
FDV40,OUT049,967.14108
FDZ48,OUT010,185.4253
FDS24,OUT027,2239.88436
FDK44,OUT049,2325.17334
FDS48,OUT045,2019.43798
FDK26,OUT010,787.3085
FDD23,OUT045,2446.88158
NCH54,OUT017,3795.59264
NCP14,OUT010,207.3967
FDM60,OUT010,57.19222
FDV24,OUT017,2114.31448
FDH08,OUT018,3372.14384
FDS12,OUT027,3733.40692
FDR39,OUT027,4691.35996
FDP12,OUT027,926.99334
DRF60,OUT027,5450.17222
FDC09,OUT035,1441.65674
FDF50,OUT018,3196.63896
FDG28,OUT035,2732.17688
NCE19,OUT017,953.7585
NCM53,OUT010,249.20894
NCN18,OUT049,1042.70938
FDF32,OUT035,2936.5109
FDF11,OUT013,3744.25946
DRI59,OUT049,3756.4436
NCG54,OUT035,3076.46206
FDM44,OUT046,1526.87914
FDT57,OUT018,2364.65528
FDV24,OUT046,1818.03348
FDI50,OUT019,575.85042
FDS09,OUT035,841.70436
NCC31,OUT027,3448.97716
FDQ07,OUT019,567.99398
FDC22,OUT017,2794.16286
FDZ56,OUT046,2776.65232
FDZ40,OUT019,150.93686
FDS46,OUT027,2142.61098
DRD24,OUT045,2078.76076
FDV45,OUT017,3223.67044
FDL26,OUT045,3913.97188
FDA56,OUT018,1308.297
FDN27,OUT046,1907.58358
FDM20,OUT049,4801.68302
FDO16,OUT017,1912.1776
FDL03,OUT035,2815.86794
FDE58,OUT046,2192.4794
FDI02,OUT027,3086.9817
NCC55,OUT019,66.38026
FDR03,OUT018,3501.30904
FDB14,OUT017,1573.41856
FDR45,OUT013,4436.09224
NCN07,OUT017,2048.26712
FDM51,OUT019,284.82924
FDT52,OUT027,6947.82274
FDL26,OUT046,3464.35714
NCZ42,OUT046,4061.91264
DRI47,OUT019,459.93464
FDW40,OUT013,1984.61664
FDN34,OUT046,4165.77744
FDS01,OUT035,3131.19082
NCG55,OUT045,1585.6027
FDC11,OUT035,1035.58532
FDX35,OUT018,2692.42862
NCB06,OUT046,2025.76308
FDR09,OUT019,630.5126
FDC53,OUT017,1406.63566
FDY45,OUT013,3565.75848
FDA22,OUT010,578.38046
FDE02,OUT035,1914.97396
FDW21,OUT045,1772.22644
FDV34,OUT046,1420.75062
FDS59,OUT049,2370.44774
NCW17,OUT017,2501.54376
NCK54,OUT046,1532.80476
FDG17,OUT019,723.7246
FDG35,OUT017,3968.56748
FDD08,OUT010,119.37794
NCO07,OUT017,4402.33618
FDJ10,OUT010,374.8454
FDW36,OUT017,1748.79028
FDW21,OUT010,189.88616
FDY19,OUT017,1715.56686
DRE03,OUT013,651.61846
NCC55,OUT049,837.5764
FDH52,OUT010,149.1392
FDO09,OUT017,3700.38324
FDU43,OUT045,3489.65754
FDX09,OUT010,362.72784
FDH40,OUT019,255.6672
FDW58,OUT017,1441.98964
FDC47,OUT017,5362.0203
NCR41,OUT035,1549.71608
DRG49,OUT035,6032.01484
FDC52,OUT027,3479.4708
FDY13,OUT046,1244.97942
FDY35,OUT013,654.34824
FDI35,OUT017,5214.8785
NCU18,OUT049,3165.08004
FDY33,OUT018,2728.98104
FDC15,OUT027,3994.99974
FDU01,OUT049,3424.27598
NCU42,OUT046,4120.6362
NCV29,OUT018,1988.21196
NCY30,OUT017,3129.9258
FDQ46,OUT049,1490.79278
FDG58,OUT027,3286.32222
FDK33,OUT017,3573.14886
NCD07,OUT045,786.11006
NCX29,OUT027,3943.46682
NCT42,OUT013,1784.0111
DRN59,OUT035,729.3839
FDI44,OUT035,1286.3256
FDA45,OUT049,2033.41978
FDP31,OUT045,786.04348
FDY01,OUT046,1568.02558
FDT09,OUT018,2293.3481
DRH03,OUT027,1763.57104
FDA36,OUT018,2450.61006
NCF31,OUT017,1768.6977
FDG14,OUT049,3367.2835
FDG28,OUT027,6947.82274
FDU14,OUT049,4799.61904
FDY47,OUT019,296.54732
FDI56,OUT049,1289.45486
DRD01,OUT013,677.05202
FDM22,OUT046,1218.94664
FDH33,OUT013,715.53526
DRZ24,OUT013,1972.63224
NCQ38,OUT046,1759.7094
FDO16,OUT027,2240.28384
FDU07,OUT027,3973.69414
NCB07,OUT013,2376.83942
FDU48,OUT045,2215.51608
NCM43,OUT045,2634.37086
FDR31,OUT010,312.99258
DRK49,OUT018,369.58558
NCI30,OUT010,663.93576
DRD60,OUT017,3597.38398
NCG19,OUT046,2830.44896
FDH12,OUT035,1838.07406
FDM32,OUT035,1930.35394
FDM27,OUT035,2482.63504
NCU53,OUT027,3426.27338
NCQ18,OUT046,1833.9461
FDS10,OUT013,4420.51252
FDB33,OUT027,4215.71244
FDI12,OUT013,1305.90012
NCW42,OUT013,4380.2982
NCC06,OUT018,2251.46928
FDW02,OUT017,2321.11196
NCD43,OUT017,1675.61886
FDM57,OUT018,992.17516
FDA58,OUT017,3734.60536
FDK56,OUT046,3505.90306
FDP52,OUT045,3210.8205
FDW20,OUT018,1484.26794
FDS52,OUT049,1513.16366
NCT29,OUT018,1701.38532
NCL54,OUT013,3442.45232
FDC05,OUT045,2359.5952
FDF34,OUT035,2253.46668
FDP03,OUT027,3473.87808
FDD32,OUT010,186.49058
FDZ10,OUT045,2003.32562
FDZ40,OUT035,1070.73956
FDD51,OUT018,551.21582
NCY30,OUT019,436.89796
FDP58,OUT017,4110.78236
FDV49,OUT017,4937.10674
FDY24,OUT019,164.38602
NCO55,OUT017,1729.14918
FDR13,OUT017,1466.62424
FDS51,OUT017,569.12584
FDP26,OUT045,1214.15288
NCB54,OUT027,4880.71348
FDF32,OUT017,1989.21066
FDN31,OUT018,2694.89208
DRM48,OUT017,684.90846
FDN20,OUT049,3097.3016
DRL01,OUT046,3243.04522
FDV56,OUT049,1137.45272
DRH13,OUT027,2871.12934
FDA03,OUT017,2285.42508
FDF47,OUT027,4901.81934
FDX32,OUT046,2446.74842
FDX57,OUT049,1796.26182
NCA30,OUT045,3169.74064
FDO49,OUT013,714.66972
FDL04,OUT019,193.34832
DRM48,OUT035,899.22948
FDR16,OUT013,5063.7419
NCC19,OUT018,3324.6723
NCE42,OUT045,2251.13638
FDY24,OUT017,1032.6558
FDH19,OUT049,1354.83642
FDJ46,OUT013,2712.66894
FDN45,OUT010,689.30274
FDY08,OUT035,2661.13602
FDZ37,OUT035,1498.24974
NCT30,OUT045,889.77512
DRY23,OUT018,412.92916
NCZ30,OUT018,1601.249
FDC44,OUT018,1868.83402
FDB45,OUT035,1538.93012
FDY04,OUT013,1938.87618
FDM27,OUT046,2314.3208
FDZ43,OUT017,4564.059
FDT39,OUT019,468.59004
NCC06,OUT019,252.60452
FDL15,OUT027,4067.97142
FDL57,OUT017,5076.0592
FDU08,OUT046,1563.49814
FDK40,OUT017,3807.31072
FDQ12,OUT010,529.51074
FDS48,OUT017,2621.98698
FDP09,OUT045,3407.2315
FDW21,OUT049,1546.12076
FDY25,OUT035,3908.64548
DRE13,OUT017,1550.84794
FDV43,OUT019,76.50042
FDD22,OUT045,1600.5832
FDM46,OUT019,333.43264
NCO30,OUT010,528.11256
FDM25,OUT046,2673.58648
NCN41,OUT049,1905.5196
FDU24,OUT045,2870.53012
FDZ50,OUT046,4089.60992
FDP45,OUT013,3044.50366
NCM54,OUT045,1337.65878
FDW10,OUT019,226.0391
FDP20,OUT017,2259.65862
FDK32,OUT046,2675.8502
FDN52,OUT049,1041.3112
FDM58,OUT045,2292.61572
FDZ46,OUT027,3300.23744
NCA18,OUT018,1257.6962
FDD35,OUT046,2290.75148
NCK31,OUT035,644.02834
FDI40,OUT027,2981.05292
FDT50,OUT019,236.15926
NCT06,OUT046,2657.27438
FDT31,OUT035,2433.56558
FDT45,OUT049,736.24164
FDT13,OUT045,2845.9621
FDO50,OUT045,1430.1384
NCU18,OUT010,257.53144
NCR54,OUT049,2243.21336
NCO18,OUT018,2330.89922
FDU09,OUT045,735.90874
FDT13,OUT018,3667.15982
FDE09,OUT046,1581.9408
NCK53,OUT019,192.28304
FDG45,OUT049,4230.55978
DRH15,OUT035,607.60908
FDO21,OUT019,628.04914
FDD14,OUT027,5508.76262
FDC09,OUT046,1453.50798
FDH45,OUT027,938.31194
FDV32,OUT046,1450.64504
FDG12,OUT035,1738.53696
FDS32,OUT013,1852.85482
NCL55,OUT018,3520.61724
DRE01,OUT035,4417.11694
DRE15,OUT049,1229.93234
NCL42,OUT045,3865.10216
FDP31,OUT013,950.49608
FDN33,OUT018,911.28046
FDZ59,OUT046,3232.39242
FDE45,OUT010,340.75644
FDJ07,OUT013,1797.59342
FDQ45,OUT018,2849.75716
FDM33,OUT027,3774.28704
FDO15,OUT010,196.34442
FDM46,OUT013,1801.3219
FDR03,OUT045,3106.02358
FDY49,OUT018,2006.0554
FDQ60,OUT045,1095.37416
FDW10,OUT049,3515.69032
FDO51,OUT049,783.71318
FDJ40,OUT018,998.63342
FDS20,OUT018,2416.25478
FDU45,OUT013,2666.59558
FDV02,OUT035,2809.94232
FDN09,OUT046,2705.74462
NCM55,OUT027,3755.7778
FDN23,OUT018,2237.15458
FDY31,OUT010,300.2758
FDW03,OUT010,239.22194
FDD14,OUT046,3019.66932
FDV23,OUT017,2037.48116
DRI03,OUT045,3504.50488
FDN13,OUT035,1548.45106
FDF45,OUT027,1806.51514
FDU46,OUT035,1110.2215
FDB57,OUT049,4239.8144
FDV12,OUT049,1672.09012
FDQ58,OUT013,1711.37232
NCA18,OUT017,1197.64104
FDH52,OUT049,888.5101
FDM24,OUT018,2561.73208
NCP43,OUT027,4158.71996
NCO18,OUT019,400.4787
FDM32,OUT017,1060.48624
NCL07,OUT017,620.05954
FDK03,OUT013,4199.5335
FDP59,OUT017,1671.69064
FDQ24,OUT049,4144.605
FDQ16,OUT018,1619.02586
FDU44,OUT013,2652.41404
FDH28,OUT010,100.13632
FDV28,OUT019,113.98496
FDM22,OUT045,938.84458
FDR56,OUT046,3046.56764
FDV39,OUT049,3316.6827
FDU37,OUT019,250.47396
FDQ11,OUT010,714.60314
FDX02,OUT045,4424.241
NCS42,OUT018,1563.76446
FDY57,OUT027,2554.6746
FDB21,OUT049,4317.3801
FDE28,OUT017,3345.77816
FDQ55,OUT017,2266.91584
FDA48,OUT049,4109.25102
FDZ19,OUT045,2050.93032
NCC43,OUT045,2158.92308
NCV18,OUT046,2234.0919
NCA42,OUT018,3335.79116
FDY45,OUT046,2978.4563
NCC30,OUT045,3112.54842
FDM57,OUT013,1581.6079
FDL09,OUT010,385.23188
FDB09,OUT027,4060.98052
FDT44,OUT035,1987.413
NCT06,OUT027,4166.2435
FDX26,OUT049,4741.56128
FDK32,OUT013,2616.79374
DRA12,OUT046,2193.811
FDO46,OUT010,601.35056
FDE52,OUT013,1762.50576
NCH42,OUT045,3823.3565
FDV08,OUT035,694.29624
FDB47,OUT018,2469.98484
FDC28,OUT010,182.29604
FDD22,OUT046,2380.30158
FDS07,OUT027,4011.97764
DRI13,OUT045,4130.35688
FDG32,OUT018,3112.9479
FDU14,OUT017,3799.52086
FDD28,OUT019,185.62504
NCP41,OUT017,1661.43732
FDS08,OUT049,1716.7653
FDX47,OUT045,1835.67718
FDC53,OUT019,207.86276
FDQ19,OUT035,3812.10448
FDL14,OUT045,2135.42034
FDM33,OUT019,613.73444
FDA51,OUT045,2291.48386
FDZ27,OUT018,437.03112
FDT04,OUT046,584.03976
DRC13,OUT049,2020.703
FDR16,OUT027,4882.71088
FDQ03,OUT027,6320.37282
FDE38,OUT035,2902.68826
DRH23,OUT027,1588.06616
FDT11,OUT019,490.82776
FDD09,OUT035,2890.77044
FDR40,OUT045,1219.21296
FDX07,OUT017,3711.76842
FDR07,OUT035,1762.90524
FDA51,OUT017,1932.35134
FDT59,OUT019,706.4138
FDF20,OUT017,3156.29148
FDR13,OUT045,1883.28188
FDY26,OUT049,5414.21902
FDW04,OUT017,1567.22662
FDK52,OUT017,4489.08992
FDN60,OUT049,2755.4133
FDM09,OUT019,237.09138
FDP46,OUT049,1321.14694
FDB50,OUT019,248.87604
NCQ29,OUT049,3097.83424
FDP16,OUT027,6998.49012
FDX33,OUT018,2802.3522
FDP07,OUT010,350.2108
FDN22,OUT046,3304.63172
FDF39,OUT049,3083.9856
FDS21,OUT017,665.00104
NCM42,OUT013,1996.00182
FDK50,OUT019,347.08154
DRF13,OUT027,3169.80722
FDH35,OUT018,2182.8253
FDP60,OUT018,1320.01508
DRJ49,OUT027,2773.7228
NCT42,OUT019,338.09324
FDE38,OUT049,2108.05596
FDI04,OUT049,3714.69794
NCH54,OUT045,3087.3146
FDT56,OUT049,774.39198
DRD15,OUT018,2792.29862
FDV58,OUT013,2674.65176
FDP21,OUT049,2758.94204
FDH05,OUT013,3166.27848
FDR10,OUT027,3775.28574
NCP06,OUT045,1332.33238
FDF33,OUT049,2069.77246
DRK37,OUT013,3366.21822
DRH49,OUT045,1190.58356
FDT58,OUT013,2349.14214
FDD41,OUT018,1479.80708
FDP40,OUT018,1757.0462
FDM51,OUT027,2400.14242
FDO45,OUT010,206.13168
FDW33,OUT010,351.2095
FDY24,OUT045,990.7104
FDB10,OUT010,469.7219
FDM40,OUT035,2163.25078
NCI06,OUT017,4217.97616
FDW12,OUT019,217.11738
FDX48,OUT027,3191.31256
NCW05,OUT027,2827.11996
FDX27,OUT017,1578.21232
DRM37,OUT045,2772.65752
FDA38,OUT045,4351.46906
FDR36,OUT046,791.76936
FDZ45,OUT046,3105.49094
FDG05,OUT017,2772.59094
FDK28,OUT013,6166.3067
FDV47,OUT045,1318.48374
FDN21,OUT045,2047.46816
FDP20,OUT027,3443.05154
FDI35,OUT045,2917.33586
DRY23,OUT013,727.51966
FDA56,OUT017,1670.69194
FDB09,OUT013,1472.48328
NCO26,OUT027,2562.86394
FDQ49,OUT018,2674.78492
FDI52,OUT027,2853.75196
FDZ44,OUT027,3061.61472
FDZ09,OUT018,2895.03156
FDY03,OUT049,1913.70894
NCG42,OUT017,2148.47002
DRI13,OUT027,6730.83852
FDQ32,OUT013,2689.832
FDW16,OUT035,1322.2788
FDU27,OUT046,992.24174
FDR28,OUT010,392.95516
FDQ49,OUT010,484.0366
FDS37,OUT046,2055.12486
FDW26,OUT018,2899.35926
FDX12,OUT018,2919.66616
NCP06,OUT013,2135.35376
FDW45,OUT010,253.60322
NCN30,OUT049,1481.00552
FDN24,OUT049,781.18314
NCL41,OUT027,1196.04312
FDR02,OUT019,357.93408
FDD09,OUT010,528.04598
FDS33,OUT010,208.46198
FDU22,OUT045,1691.53148
FDI53,OUT013,2131.5587
DRH01,OUT049,2340.42016
FDX32,OUT013,2570.3209
NCP30,OUT018,491.09408
FDB60,OUT045,1861.84312
FDB14,OUT049,1669.75982
NCP02,OUT035,744.83046
FDJ10,OUT017,1914.64106
FDG34,OUT046,1818.10006
NCB18,OUT017,1407.43462
FDM16,OUT049,1069.9406
FDW25,OUT018,1336.99298
FDB35,OUT010,159.99174
DRN11,OUT013,2346.14604
FDF41,OUT019,479.77548
FDH16,OUT045,1190.51698
NCQ50,OUT018,3203.1638
DRH23,OUT018,836.04506
DRJ37,OUT013,2375.50782
DRJ24,OUT027,4872.19124
FDY16,OUT035,3239.7828
FDQ27,OUT045,2116.97768
FDZ33,OUT045,1703.1164
FDF29,OUT045,2268.31402
FDA08,OUT049,2914.2066
FDG31,OUT046,1064.34788
FDE34,OUT019,653.4827
NCR30,OUT027,2116.64478
FDV33,OUT035,3781.34452
DRZ24,OUT018,1250.0395
NCL54,OUT035,3649.2498
FDR12,OUT049,2400.209
NCC54,OUT046,4074.96232
DRN59,OUT013,873.5296
FDX50,OUT019,249.94132
FDV31,OUT027,4522.91256
NCA29,OUT027,6403.13176
FDW60,OUT049,3317.61482
FDX08,OUT017,3045.63552
DRD49,OUT013,3495.58316
FDD33,OUT046,3688.93148
FDW35,OUT013,939.17748
FDJ36,OUT017,1564.36368
FDV51,OUT035,3786.20486
FDW36,OUT046,1805.91592
FDH35,OUT046,2456.06962
NCS30,OUT027,2964.00844
FDN49,OUT017,464.7284
FDL08,OUT018,2600.01558
FDI09,OUT013,3463.02554
FDP19,OUT018,1754.64932
FDU21,OUT010,46.2731
NCP41,OUT045,1460.83178
FDY10,OUT013,2231.89476
FDP12,OUT018,779.58522
NCN26,OUT049,1327.53862
FDK44,OUT013,2629.17762
FDC28,OUT049,1497.91684
FDJ41,OUT027,5597.24744
NCT29,OUT035,1516.15976
NCH42,OUT019,672.52458
FDU60,OUT018,2781.7124
FDS02,OUT045,2750.28664
FDC51,OUT046,2378.96998
FDU03,OUT013,2858.07966
FDX39,OUT045,4158.98628
NCY05,OUT010,64.31628
NCL06,OUT027,6306.7905
FDD32,OUT035,1035.9848
NCN41,OUT045,1614.8979
NCX53,OUT049,2367.71796
FDU57,OUT019,216.11868
FDQ23,OUT046,2000.46268
FDQ52,OUT045,5964.36956
FDC14,OUT045,743.3657
FDY09,OUT035,3230.52818
FDQ28,OUT045,2297.54264
FDV25,OUT046,4220.5062
FDJ07,OUT035,2355.13434
DRB25,OUT049,1368.81822
FDK52,OUT019,739.57064
FDY52,OUT027,1348.84422
FDB28,OUT046,2971.86488
FDT36,OUT035,660.67334
FDV25,OUT017,3922.29438
NCN07,OUT027,4079.75608
FDC57,OUT017,3112.2821
FDQ03,OUT018,3464.09082
FDU23,OUT017,3647.71846
NCX41,OUT035,3442.8518
NCD06,OUT035,794.09966
FDW08,OUT045,1402.5077
NCU29,OUT017,2581.43976
NCE06,OUT013,2628.11234
FDV52,OUT010,211.12518
FDB02,OUT017,2839.637
NCR18,OUT045,590.5646
FDK16,OUT049,1349.2437
NCQ29,OUT010,717.00002
FDZ01,OUT019,196.47758
FDW27,OUT035,1994.071
FDD17,OUT018,4074.16336
FDW39,OUT013,2394.28338
DRH59,OUT045,1026.73018
FDS52,OUT013,1299.57502
FDU40,OUT027,5295.50688
NCF54,OUT013,2538.6954
FDH46,OUT045,1859.77914
NCP14,OUT049,2775.12098
FDH50,OUT049,2992.57126
DRF15,OUT010,247.21154
FDV27,OUT027,2191.8136
NCJ06,OUT049,2001.79428
FDN02,OUT018,3758.441
FDQ51,OUT049,772.6609
FDQ07,OUT017,4377.3021
FDS45,OUT049,1869.69956
NCJ06,OUT045,1760.30862
FDD36,OUT035,2328.83524
FDY25,OUT045,3140.2457
FDU52,OUT046,2464.4587
DRK47,OUT017,3988.34174
NCL30,OUT017,1535.73428
FDN22,OUT035,3718.55958
NCF30,OUT027,3494.05182
FDK03,OUT035,5614.15876
FDT45,OUT017,991.0433
NCC54,OUT027,6594.28294
FDP08,OUT018,3175.59968
FDU44,OUT046,2759.14178
DRG39,OUT035,727.31992
FDU32,OUT049,1756.51356
FDY27,OUT049,2373.77674
NCP54,OUT013,2058.72018
NCZ41,OUT049,1598.18632
DRL49,OUT013,1673.02224
FDI05,OUT018,1493.18966
FDY56,OUT045,5264.01454
DRC13,OUT013,1985.48218
NCV29,OUT017,2757.61044
FDR24,OUT049,1284.92742
FDZ34,OUT018,3908.5789
FDP37,OUT035,1789.47066
FDX08,OUT027,4089.47676
FDS57,OUT045,1845.33128
NCG18,OUT049,1879.68656
FDK25,OUT018,2885.77694
FDH53,OUT049,1322.47854
DRI59,OUT018,3428.67026
FDA52,OUT046,2294.41338
FDT20,OUT010,111.1886
FDE36,OUT019,371.78272
FDI24,OUT017,3003.4238
FDB28,OUT018,2916.00426
FDV11,OUT017,2137.15142
FDP01,OUT046,1834.01268
FDD34,OUT027,3324.13966
FDJ50,OUT027,1414.62526
FDZ44,OUT013,1809.71098
DRO59,OUT035,1548.85054
DRB48,OUT045,575.2512
FDR21,OUT018,3152.09694
NCE42,OUT010,609.07384
FDO23,OUT046,1494.3881
NCE30,OUT018,2189.94936
FDQ22,OUT035,533.57212
FDY01,OUT045,1822.6275
FDS08,OUT017,2227.30074
FDG28,OUT018,2715.7982
FDQ51,OUT018,828.38836
FDB05,OUT017,4024.16178
FDO56,OUT049,1907.65016
FDE02,OUT018,1095.10784
FDN45,OUT017,4095.3358
FDS09,OUT013,887.57798
NCA54,OUT018,3408.03046
FDP09,OUT010,407.07012
FDC53,OUT045,824.52672
NCM55,OUT017,3213.1508
FDL09,OUT018,2272.57514
FDA11,OUT019,314.45734
FDA50,OUT045,1883.94768
FDC23,OUT017,4195.13922
FDE22,OUT049,2590.9607
FDD23,OUT046,3535.59774
NCA29,OUT049,3179.72764
FDK38,OUT046,2121.30538
DRC13,OUT046,1877.02336
NCP43,OUT049,2939.77332
FDX28,OUT049,1745.52786
FDF08,OUT049,1325.87412
FDZ33,OUT046,2182.62556
FDD10,OUT049,2424.31096
FDO58,OUT017,2313.12236
FDI50,OUT017,4150.79694
FDO58,OUT045,2507.20306
FDX08,OUT013,3518.28694
NCK17,OUT010,51.00028
FDF39,OUT035,4838.7015
FDU45,OUT010,191.95014
NCJ18,OUT018,1814.83764
DRC27,OUT019,622.65616
DRC25,OUT035,1681.01184
FDU59,OUT035,2389.82252
FDU28,OUT035,2983.18348
NCP30,OUT046,638.03614
FDB39,OUT018,683.37712
FDE41,OUT013,1226.93624
DRH11,OUT010,133.29316
FDA58,OUT045,3551.3772
FDU50,OUT046,993.24044
FDM34,OUT013,2356.66568
FDM44,OUT027,2681.70924
FDR39,OUT045,2419.78352
FDM25,OUT045,3010.88076
FDQ49,OUT049,1807.3141
DRH25,OUT018,866.13922
FDM09,OUT027,3576.3447
FDL44,OUT019,471.12008
NCR42,OUT018,361.39624
DRL59,OUT046,690.90066
FDX43,OUT013,2247.00842
DRK47,OUT010,292.08646
FDU48,OUT018,1440.92436
FDY12,OUT045,565.13104
NCN43,OUT018,1403.43982
NCM55,OUT018,1610.30388
FDQ21,OUT027,2621.5875
FDX13,OUT035,4585.23144
NCK30,OUT027,4401.20432
FDG20,OUT049,2409.79652
DRG27,OUT017,577.11544
FDY14,OUT018,4700.34826
FDP59,OUT035,1886.5443
FDU60,OUT017,3485.86248
NCC18,OUT019,309.19752
DRJ39,OUT017,4298.20506
FDS07,OUT049,1839.87172
FDM08,OUT027,5617.15486
FDP51,OUT045,1472.94934
FDU16,OUT035,1292.51754
FDH12,OUT013,1642.1957
DRE48,OUT010,616.46422
NCL42,OUT027,8438.54894
FDR21,OUT045,2842.49994
NCW29,OUT035,2101.06506
FDO11,OUT013,5268.20908
NCM31,OUT049,2456.53568
FDV35,OUT019,307.39986
FDF58,OUT017,714.86946
NCE43,OUT049,2676.38284
FDA02,OUT035,2215.71582
DRL37,OUT010,107.26038
FDR24,OUT018,1428.40732
FDW59,OUT049,1199.30554
FDS22,OUT049,704.68272
FDW24,OUT017,947.36682
